   1. 0.12678E-04 0.00000E+00 0.00000E+00 0.13099E+07 0.49113E-26 0.13099E+07 -.12704E+04 -.80208E-10 -.77788E-13
   2. 0.38034E-04 0.00000E+00 0.00000E+00 0.13099E+07 0.49113E-26 0.13099E+07 -.29642E+04 -.80207E-10 -.18151E-12
   3. 0.63390E-04 0.00000E+00 0.00000E+00 0.13099E+07 0.49112E-26 0.13099E+07 -.48274E+04 -.80206E-10 -.29559E-12
   4. 0.88746E-04 0.00000E+00 0.00000E+00 0.13098E+07 0.49111E-26 0.13098E+07 -.67148E+04 -.80205E-10 -.41116E-12
   5. 0.11410E-03 0.00000E+00 0.00000E+00 0.13098E+07 0.49110E-26 0.13098E+07 -.86103E+04 -.80203E-10 -.52723E-12
   6. 0.13946E-03 0.00000E+00 0.00000E+00 0.13097E+07 0.49109E-26 0.13098E+07 -.10509E+05 -.80201E-10 -.64352E-12
   7. 0.16481E-03 0.00000E+00 0.00000E+00 0.13097E+07 0.49108E-26 0.13097E+07 -.12411E+05 -.80199E-10 -.75993E-12
   8. 0.19017E-03 0.00000E+00 0.00000E+00 0.13096E+07 0.49106E-26 0.13097E+07 -.14313E+05 -.80196E-10 -.87641E-12
   9. 0.21552E-03 0.00000E+00 0.00000E+00 0.13095E+07 0.49104E-26 0.13097E+07 -.16216E+05 -.80193E-10 -.99294E-12
  10. 0.24088E-03 0.00000E+00 0.00000E+00 0.13094E+07 0.49102E-26 0.13096E+07 -.18120E+05 -.80189E-10 -.11095E-11
  11. 0.26624E-03 0.00000E+00 0.00000E+00 0.13093E+07 0.49099E-26 0.13095E+07 -.20024E+05 -.80186E-10 -.12261E-11
  12. 0.29159E-03 0.00000E+00 0.00000E+00 0.13092E+07 0.49097E-26 0.13095E+07 -.21928E+05 -.80181E-10 -.13427E-11
  13. 0.31695E-03 0.00000E+00 0.00000E+00 0.13091E+07 0.49094E-26 0.13094E+07 -.23832E+05 -.80176E-10 -.14593E-11
  14. 0.34230E-03 0.00000E+00 0.00000E+00 0.13089E+07 0.49091E-26 0.13093E+07 -.25737E+05 -.80171E-10 -.15759E-11
  15. 0.36766E-03 0.00000E+00 0.00000E+00 0.13088E+07 0.49087E-26 0.13092E+07 -.27642E+05 -.80166E-10 -.16926E-11
  16. 0.39302E-03 0.00000E+00 0.00000E+00 0.13086E+07 0.49084E-26 0.13091E+07 -.29546E+05 -.80160E-10 -.18092E-11
  17. 0.41837E-03 0.00000E+00 0.00000E+00 0.13085E+07 0.49080E-26 0.13090E+07 -.31451E+05 -.80154E-10 -.19258E-11
  18. 0.44373E-03 0.00000E+00 0.00000E+00 0.13083E+07 0.49076E-26 0.13089E+07 -.33356E+05 -.80147E-10 -.20425E-11
  19. 0.46908E-03 0.00000E+00 0.00000E+00 0.13081E+07 0.49072E-26 0.13088E+07 -.35261E+05 -.80140E-10 -.21591E-11
  20. 0.49444E-03 0.00000E+00 0.00000E+00 0.13079E+07 0.49067E-26 0.13087E+07 -.37167E+05 -.80132E-10 -.22758E-11
  21. 0.51980E-03 0.00000E+00 0.00000E+00 0.13077E+07 0.49062E-26 0.13085E+07 -.39072E+05 -.80125E-10 -.23925E-11
  22. 0.54515E-03 0.00000E+00 0.00000E+00 0.13075E+07 0.49057E-26 0.13084E+07 -.40977E+05 -.80116E-10 -.25091E-11
  23. 0.57051E-03 0.00000E+00 0.00000E+00 0.13072E+07 0.49052E-26 0.13083E+07 -.42882E+05 -.80108E-10 -.26258E-11
  24. 0.59586E-03 0.00000E+00 0.00000E+00 0.13070E+07 0.49046E-26 0.13081E+07 -.44787E+05 -.80099E-10 -.27424E-11
  25. 0.62122E-03 0.00000E+00 0.00000E+00 0.13067E+07 0.49041E-26 0.13080E+07 -.46693E+05 -.80089E-10 -.28591E-11
