   1. 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.18011E-03 0.47176E+07 0.17688E-25 0.47176E+07 0.23231E-05 -.28887E-09 0.14225E-21
   2. 0.71250E-02 0.00000E+00 0.00000E+00 -.25733E-06 0.17923E-03 0.50877E+07 0.12075E-25 0.32206E+07 -.44701E+06 -.19721E-09 -.27371E-10
   3. 0.12678E-04 0.00000E+00 0.00000E+00 -.53280E-09 0.18011E-03 0.47176E+07 0.17688E-25 0.47176E+07 -.50631E+03 -.28887E-09 -.31003E-13
   4. 0.25356E-04 0.00000E+00 0.00000E+00 -.10656E-08 0.18011E-03 0.47176E+07 0.17688E-25 0.47176E+07 -.10126E+04 -.28887E-09 -.62006E-13
   5. 0.38034E-04 0.00000E+00 0.00000E+00 -.15984E-08 0.18011E-03 0.47175E+07 0.17688E-25 0.47175E+07 -.15189E+04 -.28887E-09 -.93008E-13
   6. 0.50712E-04 0.00000E+00 0.00000E+00 -.21312E-08 0.18011E-03 0.47175E+07 0.17688E-25 0.47175E+07 -.20253E+04 -.28887E-09 -.12401E-12
   7. 0.63390E-04 0.00000E+00 0.00000E+00 -.26640E-08 0.18011E-03 0.47174E+07 0.17688E-25 0.47175E+07 -.25316E+04 -.28886E-09 -.15501E-12
   8. 0.76068E-04 0.00000E+00 0.00000E+00 -.31967E-08 0.18011E-03 0.47174E+07 0.17688E-25 0.47175E+07 -.30379E+04 -.28886E-09 -.18602E-12
   9. 0.88746E-04 0.00000E+00 0.00000E+00 -.37295E-08 0.18011E-03 0.47173E+07 0.17687E-25 0.47174E+07 -.35442E+04 -.28886E-09 -.21702E-12
  10. 0.10142E-03 0.00000E+00 0.00000E+00 -.42623E-08 0.18011E-03 0.47173E+07 0.17687E-25 0.47174E+07 -.40505E+04 -.28886E-09 -.24802E-12
  11. 0.11410E-03 0.00000E+00 0.00000E+00 -.47950E-08 0.18011E-03 0.47172E+07 0.17687E-25 0.47173E+07 -.45568E+04 -.28885E-09 -.27902E-12
