   1. 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.322E+03 -.720E+01 0.000E+00 0.216E+02 -.503E+02 0.335E+01
   2. 0.712E-02 0.000E+00 0.000E+00 -.317E-17 0.237E-16 -.191E+06 0.310E+05 0.000E+00 -.143E+05 0.191E+05 0.941E+06
   3. 0.237E-03 0.000E+00 0.000E+00 -.268E-17 0.305E-16 -.191E+06 0.310E+05 0.000E+00 -.143E+05 0.191E+05 0.941E+06
   4. 0.475E-03 0.000E+00 0.000E+00 -.567E-17 0.265E-16 -.871E+03 -.388E+02 0.000E+00 -.657E+01 0.921E+03 0.665E+05
   5. 0.713E-03 0.000E+00 0.000E+00 -.271E-17 0.216E-16 -.871E+03 -.388E+02 0.000E+00 -.657E+01 0.921E+03 0.665E+05
   6. 0.950E-03 0.000E+00 0.000E+00 -.290E-17 0.238E-16 -.431E+04 -.272E+02 0.000E+00 -.181E+03 0.377E+04 0.133E+06
   7. 0.119E-02 0.000E+00 0.000E+00 -.322E-17 0.241E-16 -.431E+04 -.272E+02 0.000E+00 -.181E+03 0.377E+04 0.133E+06
   8. 0.143E-02 0.000E+00 0.000E+00 -.320E-17 0.239E-16 -.990E+04 0.319E+01 0.000E+00 -.304E+03 0.531E+04 0.199E+06
   9. 0.166E-02 0.000E+00 0.000E+00 -.316E-17 0.239E-16 -.990E+04 0.319E+01 0.000E+00 -.304E+03 0.531E+04 0.199E+06
  10. 0.190E-02 0.000E+00 0.000E+00 -.317E-17 0.239E-16 -.174E+05 -.763E+01 0.000E+00 -.529E+03 0.713E+04 0.266E+06
  11. 0.214E-02 0.000E+00 0.000E+00 -.317E-17 0.239E-16 -.174E+05 -.763E+01 0.000E+00 -.529E+03 0.713E+04 0.266E+06
  12. 0.237E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.269E+05 -.119E+02 0.000E+00 -.796E+03 0.890E+04 0.333E+06
  13. 0.261E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.269E+05 -.119E+02 0.000E+00 -.796E+03 0.890E+04 0.333E+06
  14. 0.285E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.385E+05 -.205E+02 0.000E+00 -.112E+04 0.107E+05 0.399E+06
  15. 0.309E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.385E+05 -.205E+02 0.000E+00 -.112E+04 0.107E+05 0.399E+06
  16. 0.332E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.520E+05 -.248E+02 0.000E+00 -.149E+04 0.124E+05 0.466E+06
  17. 0.356E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.520E+05 -.248E+02 0.000E+00 -.149E+04 0.124E+05 0.466E+06
  18. 0.380E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.675E+05 -.473E+02 0.000E+00 -.193E+04 0.142E+05 0.533E+06
  19. 0.404E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.675E+05 -.473E+02 0.000E+00 -.193E+04 0.142E+05 0.533E+06
  20. 0.427E-02 0.000E+00 0.000E+00 -.317E-17 0.238E-16 -.850E+05 -.188E+02 0.000E+00 -.238E+04 0.160E+05 0.600E+06
